member_name,model_name,dataset_name,composite_score,fidelity,utility,diversity,privacy,consistency,stability
ayat,medgan,car,0.76,0.8599,0.8272,0.9773,0.4505,0.1,0.98
ayat,medgan,card,0.5075,0.9647,0.0,0.7703,0.9327,0.0,0.9885
ayat,medgan,covtype,0.5764,0.9401,0.2479,0.5737,0.6384,0.5159,0.9975
ayat,tabpfgen,adult,0.8201,0.9616,0.9845,0.9185,0.3344,0.4589,0.9445
ayat,tabpfgen,bank,0.8278,0.9757,0.9734,0.9451,0.3817,0.4259,0.9765
ayat,tabpfgen,car,0.8182,0.8628,0.9574,0.9747,0.3333,0.7113,0.9765
ayat,tabpfgen,card,0.8478,0.903,0.9909,0.9246,0.3435,0.8295,0.967
ayat,tabpfgen,covtype,0.7759,0.9786,0.8585,0.6678,0.3607,0.6013,0.9945
ayat,tvaegan,adult,0.8067,0.8524,0.8856,0.597,0.759,0.6182,0.965
ayat,tvaegan,bank,0.8737,0.9212,0.9004,0.8151,0.8808,0.6575,0.9785
ayat,tvaegan,car,0.6012,0.6749,0.6395,0.8428,0.4544,0.0789,0.9665
ayat,tvaegan,card,0.5571,0.9534,0.0,0.7219,0.9909,0.4886,0.981
ayat,tvaegan,covtype,0.8451,0.9833,0.7866,0.6451,0.9738,0.6362,0.9945
luke,codi,adult,0.8619,0.9099,0.9707,0.8958,0.664,0.5641,0.982
luke,codi,bank,0.8783,0.9327,0.9753,0.8998,0.7196,0.5973,0.9225
luke,codi,car,0.7288,0.8536,0.8222,0.9739,0.4689,0.1179,0.9615
luke,codi,card,0.9306,0.9367,0.9985,0.9091,0.9803,0.6102,0.9595
luke,codi,covtype,0.7749,0.771,0.6825,0.8925,0.999,0.5433,0.9965
luke,ctgan,adult,0.8495,0.9755,0.8098,0.7474,0.9618,0.5355,0.992
luke,ctgan,bank,0.8655,0.975,0.889,0.7405,0.8568,0.5829,0.9945
luke,ctgan,car,0.7172,0.8166,0.768,0.8813,0.4597,0.3791,0.9855
luke,ctgan,card,0.532,0.9701,0.0,0.5881,0.9825,0.3336,0.9985
luke,ctgan,covtype,0.5238,0.9597,0.0,0.5072,0.9991,0.3333,1.0
luke,ganblr,adult,0.812,0.7002,0.861,0.9039,0.9875,0.4777,0.986
luke,ganblr,bank,0.7364,0.7434,0.6094,0.9027,0.9862,0.4931,0.995
luke,ganblr,car,0.7597,0.8122,0.788,0.9264,0.5191,0.6372,0.9315
luke,ganblr,card,0.8663,0.8368,0.9759,0.7754,0.9954,0.3939,0.9865
luke,ganblr,covtype,0.6907,0.8581,0.5098,0.5815,0.9981,0.4086,0.9795
luke,pategan,adult,0.802,0.7814,0.8095,0.6895,0.9878,0.567,0.9925
luke,pategan,bank,0.8356,0.8939,0.8287,0.8677,0.9443,0.4445,0.9835
luke,pategan,car,0.6083,0.8994,0.4489,0.9696,0.5195,0.0,0.986
luke,pategan,card,0.5204,0.8665,0.0,0.7267,0.9889,0.3333,0.9895
luke,pategan,covtype,0.7702,0.9773,0.5999,0.6511,0.9363,0.6054,0.997
luke,privbayes,adult,0.9028,0.9961,0.9901,0.9693,0.4517,0.9335,0.9835
luke,privbayes,bank,0.9048,0.984,0.9924,0.9575,0.4875,0.9358,0.98
luke,privbayes,car,0.8392,0.9865,0.8575,0.999,0.4568,0.7486,0.983
luke,privbayes,card,0.8402,0.9908,0.8189,0.7429,0.9837,0.3443,0.993
luke,privbayes,covtype,0.9199,0.9728,0.9446,0.9887,0.7842,0.8004,0.9905
luke,tabebm,adult,0.8069,0.9636,0.9368,0.9076,0.4348,0.3429,0.9565
luke,tabebm,bank,0.8398,0.995,0.9869,0.9299,0.4305,0.3861,0.989
luke,tabebm,car,0.8802,0.9839,0.9979,0.9995,0.3333,0.8557,0.9895
luke,tabebm,card,0.8594,0.9945,0.9781,0.9059,0.4374,0.6533,0.9385
luke,tabebm,covtype,0.7743,0.9946,0.8142,0.6742,0.6073,0.3288,0.986
luke,tabkde,adult,0.8679,0.9903,0.7823,0.9655,0.9677,0.5612,0.9745
luke,tabkde,bank,0.8982,0.9889,0.8624,0.9534,0.9105,0.6833,0.978
luke,tabkde,car,0.7689,0.989,0.7508,0.9991,0.4703,0.3889,0.991
luke,tabkde,card,0.8909,0.994,0.9023,0.9531,0.9893,0.3441,0.9695
luke,tabkde,covtype,0.7946,0.9893,0.6214,0.6699,0.9855,0.6519,0.995
